#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
0,Dmytro Sakalo Romanovych,"August 23, 1973",8,"October 18, 2022",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example9.com, https://example5.com, https://example7.com, https://example3.com"
1,Oleh Sakalo Romanovych,"May 27, 1981",36,?,Donetsk Oblast,Zhytomyr Oblast,Major,Unknown,"https://example10.com, https://example8.com, https://example2.com, https://example5.com, https://example9.com, https://example7.com, https://example8.com"
2,Mykola Sakalo Oleksandrovych,"June 01, 1988",31,"July 21, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Major,Battalion 2,"https://example7.com, https://example10.com, https://example2.com, https://example8.com, https://example3.com, https://example10.com, https://example2.com"
3,Oleh Shevchenko Serhiyovych,"December 25, 1975",72,"October 08, 2024",Zhytomyr Oblast,Lviv Oblast,Private,Special Forces,"https://example1.com, https://example1.com, https://example8.com, https://example5.com, https://example8.com"
4,Dmytro Lysenko Serhiyovych,"August 29, 1987",21,?,Lviv Oblast,Kharkiv Oblast,Captain,Battalion 2,"https://example3.com, https://example6.com, https://example5.com, https://example1.com"
5,Dmytro Tkachuk Oleksandrovych,"August 22, 1996",61,"August 08, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Major,Battalion 1,"https://example7.com, https://example7.com, https://example6.com"
6,Roman Tkachuk Romanovych,"November 01, 1969",2,"November 08, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Private,Special Forces,"https://example6.com, https://example2.com, https://example5.com, https://example2.com, https://example8.com"
7,Mykola Bondarenko Ivanovych,"November 04, 1960",48,?,Zhytomyr Oblast,Kyiv Oblast,Captain,Special Forces,"https://example7.com, https://example1.com, https://example2.com, https://example8.com, https://example5.com, https://example7.com"
8,Volodymyr Lysenko Volodymyrovych,"May 10, 1990",79,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Colonel,Battalion 2,"https://example4.com, https://example5.com, https://example9.com, https://example5.com, https://example9.com, https://example4.com, https://example6.com"
9,Volodymyr Bondarenko Mykhailovych,"June 13, 1961",66,?,Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example4.com, https://example3.com, https://example7.com, https://example8.com, https://example6.com, https://example4.com, https://example9.com, https://example6.com"
10,Andrij Zinchenko Oleksandrovych,"June 06, 1991",58,?,Donetsk Oblast,Odesa Oblast,Colonel,Recon Squad,"https://example10.com, https://example8.com, https://example1.com, https://example4.com, https://example10.com, https://example10.com"
11,Roman Zinchenko Oleksandrovych,"August 29, 1998",41,"July 06, 2022",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Infantry,"https://example6.com, https://example5.com, https://example6.com, https://example2.com, https://example8.com"
12,Ihor Kovalenko Mykolayovych,"March 10, 1977",0,?,Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Recon Squad,"https://example5.com, https://example3.com, https://example2.com, https://example9.com, https://example4.com, https://example10.com, https://example9.com, https://example10.com"
13,Yuriy Sakalo Volodymyrovych,"November 06, 1963",96,?,Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 2,"https://example8.com, https://example8.com, https://example8.com"
14,Dmytro Zinchenko Yuriyovych,"December 04, 1973",65,"December 21, 2023",Zhytomyr Oblast,Lviv Oblast,Captain,Recon Squad,"https://example1.com, https://example9.com, https://example9.com, https://example1.com, https://example3.com"
15,Yuriy Bibikov Petrovych,"July 10, 1985",77,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Colonel,Unknown,"https://example7.com, https://example10.com, https://example2.com, https://example6.com, https://example4.com"
16,Roman Hrytsenko Serhiyovych,"June 24, 1996",98,"June 24, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example1.com, https://example5.com, https://example2.com, https://example9.com, https://example1.com, https://example10.com, https://example7.com, https://example6.com"
17,Volodymyr Kravchenko Petrovych,"March 24, 1975",2,?,Lviv Oblast,Donetsk Oblast,Captain,Special Forces,"https://example6.com, https://example2.com, https://example2.com, https://example7.com, https://example1.com, https://example10.com, https://example4.com"
18,Serhiy Bibikov Serhiyovych,"November 04, 1964",96,?,Lviv Oblast,Kharkiv Oblast,Private,Recon Squad,"https://example7.com, https://example10.com, https://example7.com, https://example7.com, https://example1.com, https://example2.com"
19,Serhiy Lysenko Vasyl'ovych,"May 29, 1976",48,?,Donetsk Oblast,Zhytomyr Oblast,Private,Recon Squad,"https://example1.com, https://example10.com, https://example7.com, https://example3.com, https://example4.com, https://example10.com"
20,Andrij Zinchenko Volodymyrovych,"September 11, 1978",7,?,Kyiv Oblast,Zhytomyr Oblast,Captain,Infantry,"https://example2.com, https://example2.com, https://example10.com, https://example4.com, https://example2.com, https://example2.com, https://example2.com"
21,Roman Kravchenko Volodymyrovych,"March 06, 1964",49,"April 30, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Major,Infantry,"https://example5.com, https://example7.com, https://example4.com, https://example7.com, https://example5.com, https://example8.com"
22,Ihor Sakalo Petrovych,"April 22, 1967",28,"September 16, 2022",Odesa Oblast,Zhytomyr Oblast,Captain,Unknown,"https://example9.com, https://example3.com, https://example6.com, https://example5.com, https://example5.com, https://example5.com"
23,Yuriy Kovalenko Romanovych,"October 16, 1994",55,?,Odesa Oblast,Zhytomyr Oblast,Lieutenant,Unknown,"https://example8.com, https://example8.com, https://example4.com"
24,Mykola Bondarenko Yuriyovych,"May 09, 1991",49,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Lieutenant,Special Forces,"https://example7.com, https://example6.com, https://example3.com, https://example3.com, https://example7.com"
25,Dmytro Bibikov Mykolayovych,"April 06, 1966",20,"December 27, 2024",Chernivtsi Oblast,Odesa Oblast,Private,Battalion 1,"https://example6.com, https://example4.com, https://example2.com, https://example1.com, https://example6.com, https://example5.com"
26,Dmytro Zinchenko Volodymyrovych,"January 13, 1990",74,?,Donetsk Oblast,Odesa Oblast,Sergeant,Recon Squad,"https://example6.com, https://example10.com, https://example6.com, https://example2.com, https://example10.com, https://example9.com"
